"filename", "language", "TypeScript React", "SCSS", "PostCSS", "JavaScript", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Collection\Podcats.tsx", "TypeScript React", 66, 0, 0, 0, 0, 0, 0, 2, 11, 79
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Discography.tsx", "TypeScript React", 167, 0, 0, 0, 0, 0, 0, 3, 17, 187
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Episode.tsx", "TypeScript React", 71, 0, 0, 0, 0, 0, 0, 5, 13, 89
"c:\Users\g.maillot\source\Spotify_clone\src\pages\GenrePage.tsx", "TypeScript React", 68, 0, 0, 0, 0, 0, 0, 3, 6, 77
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Home.tsx", "TypeScript React", 137, 0, 0, 0, 0, 0, 0, 3, 8, 148
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Login.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Playlist.tsx", "TypeScript React", 177, 0, 0, 0, 0, 0, 0, 9, 25, 211
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Podcast.tsx", "TypeScript React", 142, 0, 0, 0, 0, 0, 0, 6, 29, 177
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Profil.tsx", "TypeScript React", 247, 0, 0, 0, 0, 0, 0, 4, 11, 262
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Search.tsx", "TypeScript React", 148, 0, 0, 0, 0, 0, 0, 2, 7, 157
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Section.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 0, 3, 9, 84
"c:\Users\g.maillot\source\Spotify_clone\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\g.maillot\source\Spotify_clone\src\service\hook\useGetWindowWidth.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\g.maillot\source\Spotify_clone\src\service\hook\useLocalStorage.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\g.maillot\source\Spotify_clone\src\service\interface\Album.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\album.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 6, 10, 85
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\artist.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\categorie.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\client.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 5, 8, 37
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\episode.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 2, 7, 61
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\follow.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 9, 14, 74
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\player.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 11, 12, 74
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\playlist.ts", "TypeScript", 0, 0, 0, 0, 113, 0, 0, 9, 19, 141
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\search.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 9, 37
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\show.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 6, 7, 59
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\track.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 6, 14, 80
"c:\Users\g.maillot\source\Spotify_clone\src\service\spotify\user.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\g.maillot\source\Spotify_clone\src\service\utils\arrayFunctions.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\g.maillot\source\Spotify_clone\src\service\utils\calcGridNbrCols.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\g.maillot\source\Spotify_clone\src\service\utils\time.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\g.maillot\source\Spotify_clone\src\service\utils\uuid.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\g.maillot\source\Spotify_clone\src\spotify.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\g.maillot\source\Spotify_clone\src\state\authStore.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\g.maillot\source\Spotify_clone\src\state\popupStore.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\g.maillot\source\Spotify_clone\src\state\storeContext.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\g.maillot\source\Spotify_clone\src\storybook.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
"c:\Users\g.maillot\source\Spotify_clone\src\styles\carroussel.scss", "SCSS", 0, 40, 0, 0, 0, 0, 0, 1, 9, 50
"c:\Users\g.maillot\source\Spotify_clone\src\styles\dialog.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\g.maillot\source\Spotify_clone\src\styles\font.css", "PostCSS", 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\g.maillot\source\Spotify_clone\src\styles\mixin.scss", "SCSS", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\g.maillot\source\Spotify_clone\src\styles\primeReact.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\g.maillot\source\Spotify_clone\src\styles\styles.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\g.maillot\source\Spotify_clone\src\styles\tabView.scss", "SCSS", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\g.maillot\source\Spotify_clone\src\styles\table.scss", "SCSS", 0, 71, 0, 0, 0, 0, 0, 5, 18, 94
"c:\Users\g.maillot\source\Spotify_clone\src\styles\tailwind.css", "PostCSS", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\g.maillot\source\Spotify_clone\src\styles\utils.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 5927, 287, 36, 0, 690, 37025, 1, 419, 1086, 45471
